bar pass 3 trial offset at 6411.802927
bar pass 3 trial onset at 6411.811199
bar pass 3 event mri_trigger at 6411.855883
bar pass 3 event mri_trigger at 6411.939265
bar pass 3 event mri_trigger at 6412.014315
bar pass 3 event mri_trigger at 6412.097838
bar pass 3 event mri_trigger at 6412.172919
bar pass 3 event mri_trigger at 6412.256187
bar pass 3 event mri_trigger at 6412.339528
bar pass 3 event mri_trigger at 6412.414339
bar pass 3 event mri_trigger at 6412.497907
bar pass 3 event mri_trigger at 6412.572952
bar pass 3 event mri_trigger at 6412.656366
bar pass 3 event mri_trigger at 6412.739900
bar pass 3 event mri_trigger at 6412.814680
bar pass 3 event mri_trigger at 6412.898183
bar pass 3 event mri_trigger at 6412.973207
bar pass 3 trial offset at 6413.003305
bar pass 3 trial onset at 6413.011677
bar pass 3 event mri_trigger at 6413.056360
bar pass 3 event mri_trigger at 6413.139907
bar pass 3 event mri_trigger at 6413.214931
bar pass 3 event mri_trigger at 6413.298326
bar pass 3 event mri_trigger at 6413.373232
bar pass 3 event mri_trigger at 6413.456637
bar pass 3 event mri_trigger at 6413.531797
bar pass 3 event mri_trigger at 6413.614962
bar pass 3 event mri_trigger at 6413.698384
bar pass 3 event mri_trigger at 6413.773404
bar pass 3 event mri_trigger at 6413.856973
bar pass 3 event mri_trigger at 6413.931778
bar pass 3 event mri_trigger at 6414.015224
bar pass 3 event mri_trigger at 6414.098407
bar pass 3 event mri_trigger at 6414.173755
bar pass 3 trial offset at 6414.203887
bar pass 3 trial onset at 6414.212236
bar pass 3 event mri_trigger at 6414.257004
bar pass 3 event mri_trigger at 6414.332041
bar pass 3 event mri_trigger at 6414.415399
bar pass 3 event mri_trigger at 6414.498631
bar pass 3 event mri_trigger at 6414.573784
bar pass 3 event mri_trigger at 6414.657230
bar pass 3 event mri_trigger at 6414.732048
bar pass 3 event mri_trigger at 6414.815398
bar pass 3 event mri_trigger at 6414.898965
bar pass 3 event mri_trigger at 6414.974028
bar pass 3 event mri_trigger at 6415.057276
bar pass 3 event mri_trigger at 6415.132314
bar pass 3 event mri_trigger at 6415.215713
bar pass 3 event mri_trigger at 6415.299148
bar pass 3 event mri_trigger at 6415.374307
bar pass 3 trial offset at 6415.404355
bar pass 3 trial onset at 6415.412626
bar pass 3 event mri_trigger at 6415.457486
bar pass 3 event mri_trigger at 6415.532551
bar pass 3 event mri_trigger at 6415.615941
bar pass 3 event mri_trigger at 6415.699269
bar pass 3 event mri_trigger at 6415.774313
bar pass 3 event mri_trigger at 6415.857501
bar pass 3 event mri_trigger at 6415.932536
bar pass 3 event mri_trigger at 6416.016033
bar pass 3 event mri_trigger at 6416.099313
bar pass 3 event mri_trigger at 6416.174470
bar pass 3 event mri_trigger at 6416.257720
bar pass 3 event mri_trigger at 6416.332856
bar pass 3 event mri_trigger at 6416.416049
bar pass 3 event mri_trigger at 6416.499437
bar pass 3 event mri_trigger at 6416.574822
bar pass 3 trial offset at 6416.604953
bar pass 3 trial onset at 6416.613206
bar pass 3 event mri_trigger at 6416.658068
bar pass 3 event mri_trigger at 6416.732875
bar pass 3 event mri_trigger at 6416.816324
bar pass 3 event mri_trigger at 6416.899541
bar pass 3 event mri_trigger at 6416.974841
bar pass 3 event mri_trigger at 6417.058103
bar pass 3 event mri_trigger at 6417.132902
bar pass 3 event mri_trigger at 6417.216516
bar pass 3 event mri_trigger at 6417.299728
bar pass 3 event mri_trigger at 6417.374868
bar pass 3 event mri_trigger at 6417.458377
bar pass 3 event mri_trigger at 6417.533109
bar pass 3 event mri_trigger at 6417.616539
bar pass 3 event mri_trigger at 6417.700103
bar pass 3 event mri_trigger at 6417.775350
bar pass 3 trial offset at 6417.805258
bar pass 3 trial onset at 6417.813641
bar pass 3 event mri_trigger at 6417.858292
bar pass 3 event mri_trigger at 6417.933378
bar pass 3 event mri_trigger at 6418.016850
bar pass 3 event mri_trigger at 6418.091895
bar pass 3 event mri_trigger at 6418.175390
bar pass 3 event mri_trigger at 6418.258522
bar pass 3 event mri_trigger at 6418.333644
bar pass 3 event mri_trigger at 6418.417127
bar pass 3 event mri_trigger at 6418.492041
bar pass 3 event mri_trigger at 6418.575419
bar pass 3 event mri_trigger at 6418.658627
bar pass 3 event mri_trigger at 6418.733608
bar pass 3 event mri_trigger at 6418.817151
bar pass 3 event mri_trigger at 6418.892247
bar pass 3 event mri_trigger at 6418.975620
bar pass 3 trial offset at 6419.005693
bar pass 3 trial onset at 6419.014159
